bench/sim_c1.gds DL
, comp_id: 5, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 7, sub_comp_id: 1,num_vertices(sg) 20, obj_value: 0.1
, comp_id: 50, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 71, sub_comp_id: 0,num_vertices(sg) 17, obj_value: 0.1
bench/sim_c2.gds DL
bench/sim_c3.gds DL
, comp_id: 27, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 73, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 85, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 108, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 121, sub_comp_id: 1,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 159, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 180, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
bench/sim_c4.gds DL
, comp_id: 22, sub_comp_id: 1,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 238, sub_comp_id: 1,num_vertices(sg) 24, obj_value: 0.1
, comp_id: 268, sub_comp_id: 1,num_vertices(sg) 14, obj_value: 0.1
bench/sim_c5.gds DL
, comp_id: 329, sub_comp_id: 0,num_vertices(sg) 17, obj_value: 0.1
bench/sim_c6.gds DL
, comp_id: 84, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 99, sub_comp_id: 0,num_vertices(sg) 19, obj_value: 0.1
, comp_id: 361, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 402, sub_comp_id: 0,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 417, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.2
, comp_id: 425, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
bench/sim_c7.gds DL
, comp_id: 42, sub_comp_id: 0,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 42, sub_comp_id: 1,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 43, sub_comp_id: 0,num_vertices(sg) 18, obj_value: 1
, comp_id: 230, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 236, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 340, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 532, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 542, sub_comp_id: 0,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 684, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
bench/sim_c8.gds DL
, comp_id: 116, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 263, sub_comp_id: 0,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 568, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 850, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 874, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 898, sub_comp_id: 1,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 946, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 964, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 0.1
, comp_id: 1038, sub_comp_id: 1,num_vertices(sg) 12, obj_value: 0.1
bench/sim_c9.gds DL
, comp_id: 2, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 3, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 43, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 45, sub_comp_id: 0,num_vertices(sg) 28, obj_value: 0.2
, comp_id: 46, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 48, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 49, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 52, sub_comp_id: 0,num_vertices(sg) 18, obj_value: 0.2
, comp_id: 55, sub_comp_id: 1,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 56, sub_comp_id: 1,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 56, sub_comp_id: 2,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 57, sub_comp_id: 2,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 59, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 91, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 107, sub_comp_id: 2,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 156, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
