bench/sim_s2.gds DL
, comp_id: 5, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 3
, comp_id: 111, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 256, sub_comp_id: 15,num_vertices(sg) 23, obj_value: 1
, comp_id: 297, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 404, sub_comp_id: 9,num_vertices(sg) 18, obj_value: 1
, comp_id: 611, sub_comp_id: 1,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 675, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 720, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 771, sub_comp_id: 1,num_vertices(sg) 8, obj_value: 1
, comp_id: 974, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 2
, comp_id: 1003, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 1181, sub_comp_id: 1,num_vertices(sg) 18, obj_value: 1
, comp_id: 1202, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 1253, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 1358, sub_comp_id: 1,num_vertices(sg) 8, obj_value: 0.1
, comp_id: 1386, sub_comp_id: 1,num_vertices(sg) 22, obj_value: 0.1
, comp_id: 1473, sub_comp_id: 1,num_vertices(sg) 7, obj_value: 2
, comp_id: 1521, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 1544, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 1587, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 1616, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 1716, sub_comp_id: 0,num_vertices(sg) 19, obj_value: 0.1
, comp_id: 1733, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 1843, sub_comp_id: 4,num_vertices(sg) 20, obj_value: 2
, comp_id: 1885, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 1917, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 2051, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 1
, comp_id: 2069, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 3
, comp_id: 2111, sub_comp_id: 5,num_vertices(sg) 7, obj_value: 2
, comp_id: 2112, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 2120, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 2352, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 2407, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 2412, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 2635, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 1
, comp_id: 2684, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 2818, sub_comp_id: 2,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 2960, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 0.1
, comp_id: 2964, sub_comp_id: 0,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 2979, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3000, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3093, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3128, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 3136, sub_comp_id: 1,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 3143, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 1
, comp_id: 3151, sub_comp_id: 0,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 3203, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3211, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 3259, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3439, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3462, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3473, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3521, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 3729, sub_comp_id: 2,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3853, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 4073, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
